--------- Start Reading Airfoil -----------
101 0.584179 0.046912 0.0237916 0.587718
102 0.607892 0.04498 0.0235473 0.611033
103 0.631354 0.042978 0.0232465 0.634108
104 0.654509 0.040917 0.0228911 0.656889
105 0.677303 0.038811 0.0224812 0.679321
106 0.699682 0.03667 0.0220206 0.701351
107 0.721596 0.034506 0.0215065 0.722931
108 0.742992 0.032329 0.0209415 0.744006
109 0.76382 0.030152 0.020328 0.764528
110 0.784032 0.027983 0.0196668 0.784448
111 0.803581 0.025834 0.0189589 0.803721
112 0.822421 0.023714 0.0182061 0.8223
113 0.840508 0.021635 0.0174107 0.840141
114 0.8578 0.019605 0.0165725 0.857202
115 0.874255 0.017635 0.0156974 0.873443
116 0.889837 0.015735 0.0147846 0.888825
117 0.904509 0.013914 0.0138348 0.903314
118 0.918235 0.012182 0.0128542 0.916871
119 0.930985 0.010549 0.0118419 0.929468
120 0.942728 0.009022 0.0108016 0.941072
121 0.953437 0.007611 0.00973544 0.951657
122 0.963087 0.006324 0.00864649 0.961198
123 0.971656 0.005169 0.00753594 0.969671
124 0.979123 0.004152 0.00640761 0.977056
125 0.985471 0.00328 0.00526348 0.983335
126 0.990685 0.00256 0.00410719 0.988493
127 0.994753 0.001994 0.0029413 0.992518
128 0.997666 0.001587 0.00176707 0.9954
129 0.999416 0.001342 0.00146356 0.997132
130 1 0 5.98131e-154 1
